"model_name","prior_beta_sd","prior_int_mean","family","iter","warmup","train_time_min","mae","rmse","mape","coverage","waic","loo_ic"
"brms_beta1.0_int3.5_poisson_iter1000_v3",1,3.5,"poisson",1000,500,50.29,11.94,17.66,39.36,65.66,378423.21,374614.1
"brms_beta0.5_int3.5_negbinomial_iter1000_v3",0.5,3.5,"negbinomial",1000,500,49.41,12.14,18.06,39.3,95.31,251650.85,251651
"brms_beta1.0_int3.0_negbinomial_iter1000_v3",1,3,"negbinomial",1000,500,26.88,12.14,18.06,39.3,95.42,251650.62,251650.57
"brms_beta1.0_int3.5_negbinomial_iter1000_v3",1,3.5,"negbinomial",1000,500,24.97,12.15,18.07,39.34,95.32,251647.84,251648.08
